# Generators: (12), (123)
---------------------------
# Noise Exp(x for noise 10^-x), Frac of correctly recognized irreps

10.0, 1.0000000000000004
9.5, 1.0000000000000004
9.0, 1.0000000000000004
8.5, 1.0000000000000004
8.0, 1.0000000000000004
7.5, 1.0000000000000004
7.0, 1.0000000000000004
6.5, 1.0000000000000004
6.0, 1.0000000000000004
5.5, 1.0000000000000004
5.0, 1.0000000000000004
4.5, 1.0000000000000004
4.0, 0.8000000000000004
3.5, 0.06
